outcome,outcome_label,metal,component_beta,positive_weight,negative_weight
eGFR_cr_cys_2011,eGFRcr-cys in 2011,As,-1.3689164029516578,,0.4596348913033323
eGFR_cr_cys_2011,eGFRcr-cys in 2011,Cd,-0.6152897990265419,,0.20659308288352868
eGFR_cr_cys_2011,eGFRcr-cys in 2011,Co,-0.02810922986700749,,0.009438109432164228
eGFR_cr_cys_2011,eGFRcr-cys in 2011,Cr,-0.5325535358771769,,0.17881310067460393
eGFR_cr_cys_2011,eGFRcr-cys in 2011,Cu,0.021124614674890945,0.019715390881183133,
eGFR_cr_cys_2011,eGFRcr-cys in 2011,Ni,1.0503537446536482,0.9802846091188169,
eGFR_cr_cys_2011,eGFRcr-cys in 2011,Pb,-0.43340015164317014,,0.14552081570637082
eGFR_cr_cys_2015,eGFRcr-cys in 2015,As,0.5416948429387807,0.414422571680927,
eGFR_cr_cys_2015,eGFRcr-cys in 2015,Cd,-1.4251282327446873,,0.4947463931412845
eGFR_cr_cys_2015,eGFRcr-cys in 2015,Co,0.4396186425678618,0.33632937582247097,
eGFR_cr_cys_2015,eGFRcr-cys in 2015,Cr,-0.8323499864529095,,0.2889579647409516
eGFR_cr_cys_2015,eGFRcr-cys in 2015,Cu,-0.022735458915490843,,0.0078928239834163
eGFR_cr_cys_2015,eGFRcr-cys in 2015,Ni,0.32579399356147,0.24924805249660198,
eGFR_cr_cys_2015,eGFRcr-cys in 2015,Pb,-0.600309055354752,,0.20840281813434758
annualized_egfr_loss,Annualized eGFRcr-cys loss,As,-0.33486834121308356,,0.7068553052682132
annualized_egfr_loss,Annualized eGFRcr-cys loss,Cd,0.21767822135475498,0.3969020345131809,
annualized_egfr_loss,Annualized eGFRcr-cys loss,Co,-0.1282604448336611,,0.2707379728949788
annualized_egfr_loss,Annualized eGFRcr-cys loss,Cr,-0.004185229674999106,,0.008834372902562974
annualized_egfr_loss,Annualized eGFRcr-cys loss,Cu,-0.006429816597685783,,0.013572348934245066
annualized_egfr_loss,Annualized eGFRcr-cys loss,Ni,0.12880374070881265,0.23485338322808397,
annualized_egfr_loss,Annualized eGFRcr-cys loss,Pb,0.20196123657548093,0.36824458225873513,
